0.2706306648317752 -1.0,0.26151947990319363 -0.8268874863569496,0.25240829497461204 -0.6628861576424809,0.22507474018886725 -0.4897736439994306,0.17040763061737768 -0.31666113035638027,0.0975181511887249 -0.17088217149907473,-0.011816067954254258 0.002230342143975617,-0.12115028709723341 0.13889811607269956,0.5075214729748967 0.3393441845014947,-0.6222654581692212 0.16623167085844434,-0.6222654581692212 0.16623167085844434,-0.6222654581692212 0.16623167085844434,-0.6222654581692212 0.16623167085844434,-0.6222654581692212 0.16623167085844434,-0.6222654581692212 0.16623167085844434,-0.6222654581692212 0.16623167085844434,-0.6222654581692212 0.16623167085844434,-0.6222654581692212 0.16623167085844434,-0.6222654581692212 0.16623167085844434,-0.6222654581692212 0.16623167085844434	1,0,0,0,0
0.4525630943018516 -1.0,0.3621219704010866 -0.8643383141488525,0.19028383498963314 -0.6291913920068636,0.06366626152856214 -0.43926503181525706,-0.07199542432258535 -0.24933867162365056,0.2535926217201686 0.12146993636948591,-0.33427468363480384 0.1305140487595624,-0.4789804818760278 0.3023521841710159,-0.7412597411882463 0.3385286337313219,-0.7412597411882463 0.3385286337313219,-0.7412597411882463 0.3385286337313219,-0.7412597411882463 0.3385286337313219,-0.7412597411882463 0.3385286337313219,-0.7412597411882463 0.3385286337313219,-0.7412597411882463 0.3385286337313219,-0.7412597411882463 0.3385286337313219,-0.7412597411882463 0.3385286337313219,-0.7412597411882463 0.3385286337313219,-0.7412597411882463 0.3385286337313219,-0.7412597411882463 0.3385286337313219	1,0,0,0,0
0.4436062371602735 -1.0,0.3600848684875223 -0.7995487151853972,0.27656349981477113 -0.5990974303707944,0.17633785740746977 -0.40699828242346675,0.05105580439834302 -0.22325127134341421,-0.09928265921260906 -0.05620853399791188,0.410197689691173 0.3029333512949181,-0.383255312699963 0.2695248038258176,-0.6588758293200419 0.33634189876401854,-0.6087630081163912 0.42821540430404487,-0.6087630081163912 0.42821540430404487,-0.6087630081163912 0.42821540430404487,-0.6087630081163912 0.42821540430404487,-0.6087630081163912 0.42821540430404487,-0.6087630081163912 0.42821540430404487,-0.6087630081163912 0.42821540430404487,-0.6087630081163912 0.42821540430404487,-0.6087630081163912 0.42821540430404487,-0.6087630081163912 0.42821540430404487,-0.6087630081163912 0.42821540430404487	1,0,0,0,0
0.32370969174735714 -1.0,0.20440614728613304 -0.8456071777560629,0.0991383139379941 -0.6701607888424981,0.007906191702940372 -0.5087501110420184,-0.09736164164519856 -0.3192680110153683,-0.1815759083237097 -0.150839477658346,-0.2868437416718486 0.017589055698676297,0.23949542506884602 0.38953540019543387,-0.5324686861508394 0.3404104112996357,-0.6166829528293506 0.403571111308519,-0.6166829528293506 0.403571111308519,-0.6166829528293506 0.403571111308519,-0.6166829528293506 0.403571111308519,-0.6166829528293506 0.403571111308519,-0.6166829528293506 0.403571111308519,-0.6166829528293506 0.403571111308519,-0.6166829528293506 0.403571111308519,-0.6166829528293506 0.403571111308519,-0.6166829528293506 0.403571111308519,-0.6166829528293506 0.403571111308519	1,0,0,0,0
0.2845986248266885 -1.0,0.25234147307659655 -0.7741999377493562,0.16363430576384366 -0.5645284513737585,0.07492713845109077 -0.35485696499816083,-0.046037180611754075 -0.14518547862256306,-0.16700149967459893 0.0402931439404657,-0.30409439461248977 0.23383605444101746,-0.5137658809880875 0.37899323731643125,-0.6831159276760703 0.32254322175377037,-0.6831159276760703 0.32254322175377037,-0.6831159276760703 0.32254322175377037,-0.6831159276760703 0.32254322175377037,-0.6831159276760703 0.32254322175377037,-0.6831159276760703 0.32254322175377037,-0.6831159276760703 0.32254322175377037,-0.6831159276760703 0.32254322175377037,-0.6831159276760703 0.32254322175377037,-0.6831159276760703 0.32254322175377037,-0.6831159276760703 0.32254322175377037,-0.6831159276760703 0.32254322175377037	1,0,0,0,0
0.3783441969063139 -0.9921198560171223,0.3310633330090476 -0.8423971203424457,0.2601420371631482 -0.7084346726335247,0.20498102928300424 -0.5744722249246036,0.12617958945422714 -0.40898920128417166,0.0316178616596946 -0.21986574569510656,-0.07870415410059337 -0.030742290106041494,-0.18902616986088133 0.11110030158575732,-0.5357525051075006 0.09534001362000188,-0.3781496254499464 0.26870318124331155,-0.3781496254499464 0.26870318124331155,-0.3781496254499464 0.26870318124331155,-0.3781496254499464 0.26870318124331155,-0.3781496254499464 0.26870318124331155,-0.3781496254499464 0.26870318124331155,-0.3781496254499464 0.26870318124331155,-0.3781496254499464 0.26870318124331155,-0.3781496254499464 0.26870318124331155,-0.3781496254499464 0.26870318124331155,-0.3781496254499464 0.26870318124331155	1,0,0,0,0
0.3236540016168149 -0.979983831851253,0.2672918350848828 -0.7706386418755053,0.18677445432497983 -0.5532417138237673,0.11430881164106713 -0.3600000000000001,0.03379143088116414 -0.1667582861762329,-0.07893290218270005 0.06674211802748577,0.2833953112368634 0.3324494745351656,-0.6345028294260306 0.21167340339531115,-0.6667097817299918 0.3888116410670977,-0.6667097817299918 0.3888116410670977,-0.6667097817299918 0.3888116410670977,-0.6667097817299918 0.3888116410670977,-0.6667097817299918 0.3888116410670977,-0.6667097817299918 0.3888116410670977,-0.6667097817299918 0.3888116410670977,-0.6667097817299918 0.3888116410670977,-0.6667097817299918 0.3888116410670977,-0.6667097817299918 0.3888116410670977,-0.6667097817299918 0.3888116410670977,-0.6667097817299918 0.3888116410670977	1,0,0,0,0
0.2523880033678832 -1.0,0.17094910431727786 -0.8001045205121505,0.09691374154400026 -0.5928055047469732,0.00807130621606715 -0.3781029527044682,-0.08077112911186596 -0.1856110094939465,-0.16961356443979908 0.014284469993903025,0.8594779781087595 0.16975873181778597,-0.5842115959701536 0.2882153122550301,-0.4361408704235984 0.5177249368521907,-0.4361408704235984 0.5177249368521907,-0.4361408704235984 0.5177249368521907,-0.4361408704235984 0.5177249368521907,-0.4361408704235984 0.5177249368521907,-0.4361408704235984 0.5177249368521907,-0.4361408704235984 0.5177249368521907,-0.4361408704235984 0.5177249368521907,-0.4361408704235984 0.5177249368521907,-0.4361408704235984 0.5177249368521907,-0.4361408704235984 0.5177249368521907,-0.4361408704235984 0.5177249368521907	1,0,0,0,0
0.5376639077466754 -0.9263926346135962,0.4239747047335628 -0.7596484701943643,0.3330233423230727 -0.6308007067795034,0.2344926997117084 -0.47163582256114567,0.11322421649772162 -0.312470938342788,-0.030782107318887718 -0.06993397191481439,0.9924207197991258 0.2029201153166559,-0.5537524411792059 -0.024458290709569345,-0.44764251836696733 0.35450571933413944,-0.44764251836696733 0.35450571933413944,-0.44764251836696733 0.35450571933413944,-0.44764251836696733 0.35450571933413944,-0.44764251836696733 0.35450571933413944,-0.44764251836696733 0.35450571933413944,-0.44764251836696733 0.35450571933413944,-0.44764251836696733 0.35450571933413944,-0.44764251836696733 0.35450571933413944,-0.44764251836696733 0.35450571933413944,-0.44764251836696733 0.35450571933413944,-0.44764251836696733 0.35450571933413944	1,0,0,0,0
0.31909723500607484 -1.0,0.26136740178933027 -0.8268105003497662,0.18714333051065862 -0.6288796436066418,0.09642502117005995 -0.45569014395640806,-0.01903464526342925 -0.2495121681823202,-0.10150583557306439 -0.12580538271786748,-0.2087183829755901 0.022642759839475786,0.6407348772136519 0.31129192592319876,-0.5963329774308752 0.24531497367549068,-0.5303560251831672 0.3195390449541623,-0.5303560251831672 0.3195390449541623,-0.5303560251831672 0.3195390449541623,-0.5303560251831672 0.3195390449541623,-0.5303560251831672 0.3195390449541623,-0.5303560251831672 0.3195390449541623,-0.5303560251831672 0.3195390449541623,-0.5303560251831672 0.3195390449541623,-0.5303560251831672 0.3195390449541623,-0.5303560251831672 0.3195390449541623,-0.5303560251831672 0.3195390449541623	1,0,0,0,0
